SystemSource,SourceType,Scope,MinimumVersionOrCondition,PermissionGuidance,CostClass,FrameworkModules,Provenance
master.sys.all_objects,CATALOG_VIEW_OR_TABLE,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/09_VersionAdaptive/010_USP_ServerFeatureCapabilities.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
master.sys.databases,CATALOG_VIEW_OR_TABLE,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/082_TVF_DatabaseCandidates.sql | Code/01_Common/083_USP_PrepareDatabaseCandidates.sql | Code/02_CurrentState/010_USP_CurrentSessions.sql | Code/02_CurrentState/020_USP_CurrentRequests.sql | Code/02_CurrentState/030_USP_CurrentBlocking.sql | Code/02_CurrentState/040_USP_CurrentWaits.sql | Code/02_CurrentState/050_USP_CurrentTransactions.sql | Code/02_CurrentState/090_USP_CurrentLog.sql | Code/03_ObjectIndex/010_USP_ObjectInventory.sql | Code/04_PlanCache/010_USP_QueryStats.sql | Code/04_PlanCache/050_USP_ShowplanAnalysis.sql | Code/06_ExtendedEvents/010_USP_ExtendedEventsSessions.sql | Code/06_ExtendedEvents/020_USP_ExtendedEventsReadEvents.sql | Code/06_ExtendedEvents/050_USP_ExtendedEventsTargetRuntime.sql | Code/07_Infrastructure/020_USP_AgentJobs.sql | Code/07_Infrastructure/080_USP_DataCaptureStatus.sql | Code/08_ServerHealth/110_USP_DatabaseIntegrityAnalysis.sql | Code/08_ServerHealth/190_USP_DatabaseConfigurationAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
master.sys.sp_readerrorlog,SYSTEM_STORED_PROCEDURE,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+; documented archive product and two keyword parameters,SQL Server 2019 requires VIEW SERVER STATE; SQL Server 2022+ requires VIEW ANY ERROR LOG or an applicable server-state permission; framework grants none,MEDIUM_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/140_USP_ErrorLogAnalysis.sql,Official Microsoft documentation; server-local time and source-row bounds are explicit and message text is opt-in
master.sys.master_files,CATALOG_VIEW_OR_TABLE,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; SQL25-003 reads it only for a configured percent limit,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/02_CurrentState/005_InternalCaptureCurrentStateSnapshot.sql | Code/02_CurrentState/030_USP_CurrentBlocking.sql | Code/02_CurrentState/070_USP_CurrentTempDB.sql | Code/02_CurrentState/080_USP_CurrentIO.sql | Code/07_Infrastructure/030_USP_ResourceGovernorAnalysis.sql,Official Microsoft TempDB percent-limit configuration contract; no file values persisted
master.sys.objects,CATALOG_VIEW_OR_TABLE,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/030_USP_ResourceGovernorAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
master.sys.schemas,CATALOG_VIEW_OR_TABLE,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/030_USP_ResourceGovernorAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
msdb.dbo.agent_datetime,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql | Code/07_Infrastructure/080_USP_DataCaptureStatus.sql | Code/07_Infrastructure/120_USP_AgentMonitoringAnalysis.sql | Code/09_VersionAdaptive/070_USP_DataCaptureDeepAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
msdb.dbo.backupmediafamily,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/050_USP_BackupRecovery.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
msdb.dbo.backupset,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/07_Infrastructure/050_USP_BackupRecovery.sql | Code/08_ServerHealth/110_USP_DatabaseIntegrityAnalysis.sql | Code/07_Infrastructure/100_USP_BackupChainAnalysis.sql | Code/09_VersionAdaptive/080_USP_EncryptionAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
msdb.dbo.log_shipping_monitor_primary,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/060_USP_LogShippingStatus.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
