ProcedureName,ResultName,IsConsoleDefault,IsRawExportable,IsTableExportable,SourceTable,SchemaVersion,SourceSchema,EmptyConsoleMessage
USP_CheckAnalyseAccess,access,1,1,1,#CheckAnalyseAccess_Access,1,"[AnalysisClass] varchar(64) NOT NULL , [AnalysisLevel] varchar(16) NOT NULL , [RequiresGroupGate] bit NOT NULL , [OriginalLoginName] sysname NULL , [EffectiveLoginName] sysname NULL , [IsSysadmin] bit NULL , [ActivePolicyCount] bigint NULL , [RelevantPolicyCount] bigint NULL , [IsAllowed] bit NOT NULL , [AccessReason] varchar(20) NULL , [MatchedGroupCount] bigint NULL , [StatusCode] varchar(40) NOT NULL",Keine fachlichen Ergebnisse
USP_CheckFrameworkCapabilities,capabilities,1,1,1,#CheckFrameworkCapabilities_Capabilities,1,"[FeatureOrdinal] smallint NOT NULL , [FeatureCode] varchar(64) NOT NULL , [FeatureName] nvarchar(200) NOT NULL , [ScopeType] varchar(16) NOT NULL , [AnalysisClass] varchar(64) NOT NULL , [AnalysisLevel] varchar(16) NOT NULL , [IsResourceIntensive] bit NOT NULL , [DatabaseName] sysname NULL , [ServerMajorVersion] int NULL , [ServerProductVersion] nvarchar(128) NULL , [MinimumMajorVersion] tinyint NOT NULL , [VersionSupported] bit NOT NULL , [GroupCheckApplied] bit NOT NULL , [GroupAccessAllowed] bit NULL , [AccessReason] varchar(20) NULL , [RequiredPermissionScope] varchar(16) NOT NULL , [PermissionCheckType] varchar(24) NOT NULL , [RequiredPermission] sysname NULL , [PermissionDisplayText] nvarchar(128) NULL , [HasRequiredPermission] bit NULL , [IsQueryable] bit NOT NULL , [IsFeatureEnabled] bit NULL , [IsUsable] bit NOT NULL , [StatusCode] varchar(40) NOT NULL , [ErrorNumber] int NULL , [ErrorMessage] nvarchar(2048) NULL , [Description] nvarchar(1000) NULL",Keine fachlichen Ergebnisse
USP_AnalysisNavigator,navigation,1,1,1,#AnalysisNavigator_Navigation,1,"[Rank] int NOT NULL , [RelevanceScore] int NOT NULL , [ProcedureName] sysname NOT NULL , [DisplayName] nvarchar(160) NOT NULL , [NavigationRole] varchar(24) NOT NULL , [PrimaryAreaCode] varchar(40) NOT NULL , [PrimaryAreaName] nvarchar(160) NOT NULL , [ScopeCode] varchar(40) NOT NULL , [EvidenceType] varchar(40) NOT NULL , [CostRangeCode] varchar(32) NOT NULL , [RepresentativeAnalysisClass] varchar(64) NULL , [AnalysisLevel] varchar(16) NULL , [RequiresGroupGate] bit NULL , [WhyMatched] nvarchar(500) NOT NULL , [Purpose] nvarchar(1000) NOT NULL , [PrerequisiteSummary] nvarchar(1000) NOT NULL , [RequiresKnownTarget] bit NOT NULL , [RequiresHighImpactForSafeStart] bit NOT NULL , [HighImpactPathAvailable] bit NOT NULL , [PackageCode] varchar(32) NOT NULL , [IsInstalled] bit NOT NULL , [SafeCall] nvarchar(2000) NOT NULL , [NextProcedureName] sysname NULL , [RelationType] varchar(24) NULL , [NextStep] nvarchar(700) NULL , [RunbookPath] nvarchar(400) NULL , [DocumentationPath] nvarchar(400) NOT NULL",Keine passende Analyse gefunden
USP_CurrentSessions,sessions,1,1,1,#CurrentSessions_Result,3,"[SessionId] smallint NOT NULL, [RequestId] int NULL, [IsUserProcess] bit NOT NULL , [SessionStatus] nvarchar(30) NULL, [RequestStatus] nvarchar(30) NULL , [LoginName] nvarchar(128) NULL, [OriginalLoginName] nvarchar(128) NULL , [HostName] nvarchar(128) NULL, [ProgramName] nvarchar(128) NULL , [IsToolBackgroundQuery] bit NOT NULL , [ToolBackgroundRuleCode] varchar(64) NULL , [ToolBackgroundCategory] varchar(40) NULL , [ToolBackgroundDetection] varchar(40) NULL , [ToolBackgroundConfidence] varchar(16) NULL , [ClientInterfaceName] nvarchar(32) NULL, [LoginTime] datetime NULL , [LastRequestStartTime] datetime NULL, [LastRequestEndTime] datetime NULL , [DatabaseId] smallint NULL, [DatabaseName] sysname NULL , [OpenTransactionCount] int NULL, [TransactionIsolationLevel] nvarchar(40) NULL , [SessionCpuMs] int NULL, [SessionReads] bigint NULL, [SessionWrites] bigint NULL , [SessionLogicalReads] bigint NULL, [SessionMemoryMb] decimal(19,2) NULL , [SessionRowCount] bigint NULL, [RequestCpuMs] int NULL, [RequestElapsedMs] int NULL , [RequestLogicalReads] bigint NULL, [RequestReads] bigint NULL, [RequestWrites] bigint NULL , [BlockingSessionId] smallint NULL, [WaitType] nvarchar(120) NULL, [WaitTimeMs] int NULL , [WaitResource] nvarchar(256) NULL, [PercentComplete] real NULL , [ClientNetAddress] varchar(48) NULL, [NetTransport] nvarchar(40) NULL , [ProtocolType] nvarchar(40) NULL, [EncryptOption] nvarchar(40) NULL , [AuthScheme] nvarchar(40) NULL , [CurrentStatementCharacters] bigint NULL, [CurrentStatementBytes] bigint NULL , [CurrentStatementIsTruncated] bit NOT NULL DEFAULT(0), [CurrentStatement] nvarchar(max) NULL , [BatchTextCharacters] bigint NULL, [BatchTextBytes] bigint NULL , [BatchTextIsTruncated] bit NOT NULL DEFAULT(0), [BatchText] nvarchar(max) NULL",Keine aktiven Sessions
USP_CurrentRequests,requests,1,1,1,#CurrentRequests_Result,3,"[SessionId] smallint NOT NULL , [RequestId] int NOT NULL , [RequestStatus] nvarchar(30) NULL , [Command] nvarchar(32) NULL , [DatabaseId] smallint NULL , [DatabaseName] sysname NULL , [LoginName] nvarchar(128) NULL , [OriginalLoginName] nvarchar(128) NULL , [HostName] nvarchar(128) NULL , [ProgramName] nvarchar(128) NULL , [IsToolBackgroundQuery] bit NOT NULL , [ToolBackgroundRuleCode] varchar(64) NULL , [ToolBackgroundCategory] varchar(40) NULL , [ToolBackgroundDetection] varchar(40) NULL , [ToolBackgroundConfidence] varchar(16) NULL , [StartTime] datetime NULL , [ElapsedMs] int NULL , [CpuMs] int NULL , [LogicalReads] bigint NULL , [Reads] bigint NULL , [Writes] bigint NULL , [RowCount] bigint NULL , [PercentComplete] real NULL , [EstimatedCompletionTimeMs] bigint NULL , [BlockingSessionId] smallint NULL , [WaitType] nvarchar(120) NULL , [WaitTimeMs] int NULL , [LastWaitType] nvarchar(120) NULL , [WaitResource] nvarchar(256) NULL , [WaitingTaskCount] int NULL , [MaxTaskWaitMs] bigint NULL , [TaskWaitTypes] nvarchar(max) NULL , [RequestedMemoryMb] decimal(19,2) NULL , [GrantedMemoryMb] decimal(19,2) NULL , [UsedMemoryMb] decimal(19,2) NULL , [IdealMemoryMb] decimal(19,2) NULL , [Dop] smallint NULL , [ParallelWorkerCount] int NULL , [TransactionIsolationLevel] nvarchar(40) NULL , [OpenTransactionCount] int NULL , [OpenResultsetCount] int NULL , [TransactionId] bigint NULL , [ConnectionId] uniqueidentifier NULL , [SchedulerId] int NULL , [TaskAddress] varbinary(8) NULL , [NestLevel] int NULL , [WorkloadGroupId] int NULL , [WorkloadGroupName] sysname NULL , [ResourcePoolId] int NULL , [ResourcePoolName] sysname NULL , [StatementSqlHandle] varbinary(64) NULL , [StatementContextId] bigint NULL , [IsResumable] bit NULL , [ExecutingManagedCode] bit NULL , [ContextInfo] varbinary(128) NULL , [ClientNetAddress] varchar(48) NULL , [QueryHash] binary(8) NULL , [QueryPlanHash] binary(8) NULL , [SqlHandle] varbinary(64) NULL , [PlanHandle] varbinary(64) NULL , [SqlTextDatabaseId] int NULL , [SqlTextObjectId] int NULL , [SqlTextObjectNumber] smallint NULL , [SqlTextIsEncrypted] bit NULL , [ExecutionContextType] varchar(20) NULL , [ModuleDatabaseName] sysname NULL , [ModuleSchemaName] sysname NULL , [ModuleObjectName] sysname NULL , [ModuleType] char(2) NULL , [ModuleTypeDescription] nvarchar(60) NULL , [ModuleFullName] nvarchar(776) NULL , [HasStatementOffsets] bit NULL , [IsStatementOffsetValid] bit NULL , [StatementStartOffsetBytes] int NULL , [StatementEndOffsetBytes] int NULL , [StatementStartCharacter] int NULL , [StatementEndCharacter] int NULL , [StatementStartLine] int NULL , [StatementEndLine] int NULL , [CurrentStatementCharacterCount] bigint NULL , [CurrentStatementBytes] bigint NULL , [CurrentStatementIsTruncated] bit NULL , [BatchTextCharacterCount] bigint NULL , [BatchTextBytes] bigint NULL , [BatchTextIsTruncated] bit NULL , [CurrentStatement] nvarchar(max) NULL , [BatchText] nvarchar(max) NULL , [InputBufferEventType] nvarchar(256) NULL , [InputBufferParameterCount] smallint NULL , [InputBufferCharacterCount] bigint NULL , [InputBufferBytes] bigint NULL , [InputBufferIsTruncated] bit NULL , [InputBufferText] nvarchar(max) NULL , PRIMARY KEY ([SessionId], [RequestId])",Keine aktiven Requests
USP_CurrentBlocking,blockingChains,1,1,1,#CurrentBlocking_BlockingChains,4,"[LeafSessionId] smallint NOT NULL , [BlockedSessionId] smallint NOT NULL , [BlockingSessionId] smallint NOT NULL , [RootBlockingSessionId] smallint NULL , [BlockingOwnerType] varchar(40) NULL , [BlockingOwnerDescription] nvarchar(512) NULL , [BlockingChain] nvarchar(4000) NULL , [ChainDepth] int NOT NULL , [IsCycle] bit NOT NULL , [WaitType] nvarchar(120) NULL , [WaitTimeMs] bigint NULL , [WaitResource] nvarchar(3072) NULL , [BlockingResourceType] nvarchar(60) NULL , [BlockingResourceDatabaseId] int NULL , [BlockingResourceDatabaseName] sysname NULL , [BlockingResourceSchemaName] sysname NULL , [BlockingResourceObjectId] int NULL , [BlockingResourceObjectName] sysname NULL , [BlockingResourceIndexId] int NULL , [BlockingResourceIndexName] sysname NULL , [BlockingResourcePartitionId] bigint NULL , [BlockingResourcePartitionNumber] int NULL , [BlockingResourceFileId] int NULL , [BlockingResourcePageId] bigint NULL , [BlockingResourceRowId] int NULL , [BlockingResourceMetadataSubtype] nvarchar(60) NULL , [BlockingResourceMetadataName] sysname NULL , [BlockingResourcePageTypeDesc] nvarchar(60) NULL , [BlockingResourceName] nvarchar(1024) NULL , [BlockingResourceResolutionStatus] varchar(40) NULL , [BlockedLoginName] nvarchar(128) NULL , [BlockedHostName] nvarchar(128) NULL , [BlockedProgramName] nvarchar(128) NULL , [BlockedIsToolBackgroundQuery] bit NOT NULL , [BlockedToolBackgroundRuleCode] varchar(64) NULL , [BlockedToolBackgroundCategory] varchar(40) NULL , [BlockedToolBackgroundDetection] varchar(40) NULL , [BlockedToolBackgroundConfidence] varchar(16) NULL , [BlockerLoginName] nvarchar(128) NULL , [BlockerHostName] nvarchar(128) NULL , [BlockerProgramName] nvarchar(128) NULL , [RootBlockerLoginName] nvarchar(128) NULL , [RootBlockerHostName] nvarchar(128) NULL , [RootBlockerProgramName] nvarchar(128) NULL , [RootBlockerSessionStatus] nvarchar(30) NULL , [RootBlockerRequestStatus] nvarchar(30) NULL , [RootBlockerOpenTransactionCount] int NULL , [RootBlockerLastRequestStartTime] datetime NULL , [RootBlockerLastRequestEndTime] datetime NULL , [RootIsToolBackgroundQuery] bit NOT NULL , [RootToolBackgroundRuleCode] varchar(64) NULL , [RootToolBackgroundCategory] varchar(40) NULL , [RootToolBackgroundDetection] varchar(40) NULL , [RootToolBackgroundConfidence] varchar(16) NULL , [BlockedStatementCharacters] bigint NULL , [BlockedStatementBytes] bigint NULL , [BlockedStatementIsTruncated] bit NOT NULL DEFAULT(0) , [BlockedStatement] nvarchar(max) NULL , [BlockerStatementCharacters] bigint NULL , [BlockerStatementBytes] bigint NULL , [BlockerStatementIsTruncated] bit NOT NULL DEFAULT(0) , [BlockerStatement] nvarchar(max) NULL , [RootBlockerStatementSource] varchar(32) NULL , [RootBlockerStatementCharacters] bigint NULL , [RootBlockerStatementBytes] bigint NULL , [RootBlockerStatementIsTruncated] bit NOT NULL DEFAULT(0) , [RootBlockerStatement] nvarchar(max) NULL",Keine Blocking-Ketten
USP_CurrentWaits,currentTasks,1,1,1,#CurrentWaits_Tasks,3,"[SessionId] smallint NULL,[ExecContextId] int NULL,[WaitDurationMs] bigint NULL,[WaitType] nvarchar(120) NULL,[BlockingSessionId] smallint NULL,[ResourceDescription] nvarchar(3072) NULL,[SessionStatus] nvarchar(30) NULL,[RequestStatus] nvarchar(30) NULL,[LoginName] nvarchar(128) NULL,[HostName] nvarchar(128) NULL,[ProgramName] nvarchar(128) NULL,[IsToolBackgroundQuery] bit NOT NULL,[ToolBackgroundRuleCode] varchar(64) NULL,[ToolBackgroundCategory] varchar(40) NULL,[ToolBackgroundDetection] varchar(40) NULL,[ToolBackgroundConfidence] varchar(16) NULL,[DatabaseId] smallint NULL,[Command] nvarchar(32) NULL,[CurrentStatementCharacters] bigint NULL,[CurrentStatementBytes] bigint NULL,[CurrentStatementIsTruncated] bit NOT NULL DEFAULT(0),[CurrentStatement] nvarchar(max) NULL,[WaitGroup] nvarchar(64) NULL,[WaitSeverity] tinyint NULL,[IsGenerallyBenign] bit NULL,[WaitMeaning] nvarchar(1000) NULL,[WaitTypicalOccurrence] nvarchar(1200) NULL,[HighWaitImpact] nvarchar(1200) NULL,[RecommendedChecks] nvarchar(1500) NULL,[WaitHelpUrl] nvarchar(500) NULL,[DescriptionSource] varchar(40) NULL,[DescriptionQuality] varchar(40) NULL,[CatalogMatchType] varchar(20) NULL",Keine aktiven Waits
USP_CurrentTransactions,transactions,1,1,1,#CurrentTransactions_Result,2,"[SessionId] smallint NOT NULL , [TransactionId] bigint NOT NULL , [TransactionBeginTimeUtc] datetime NULL , [TransactionAgeSeconds] bigint NULL , [TransactionType] int NULL , [TransactionState] int NULL , [OpenTransactionCount] int NULL , [LoginName] nvarchar(128) NULL , [HostName] nvarchar(128) NULL , [ProgramName] nvarchar(128) NULL , [SessionStatus] nvarchar(30) NULL , [RequestStatus] nvarchar(30) NULL , [DatabaseId] int NULL , [DatabaseName] sysname NULL , [LogBytesUsed] bigint NULL , [LogBytesReserved] bigint NULL , [StatementTextCharacters] bigint NULL , [StatementTextBytes] bigint NULL , [StatementTextIsTruncated] bit NOT NULL DEFAULT(0) , [StatementText] nvarchar(max) NULL",Keine aktiven Transaktionen
USP_CurrentMemoryGrants,memoryGrants,1,1,1,#CurrentMemoryGrants_Result,2,"[SessionId] smallint NULL , [RequestId] int NULL , [SchedulerId] int NULL , [Dop] smallint NULL , [RequestTime] datetime NULL , [GrantTime] datetime NULL , [WaitTimeMs] bigint NULL , [IsWaiting] bit NOT NULL , [IsSmall] bit NULL , [RequestedMemoryMb] decimal(19,2) NULL , [RequiredMemoryMb] decimal(19,2) NULL , [GrantedMemoryMb] decimal(19,2) NULL , [UsedMemoryMb] decimal(19,2) NULL , [MaxUsedMemoryMb] decimal(19,2) NULL , [IdealMemoryMb] decimal(19,2) NULL , [GroupId] int NULL , [WorkloadGroupName] sysname NULL , [PoolId] int NULL , [PoolName] sysname NULL , [ResourceSemaphoreId] smallint NULL , [RequestMaxMemoryGrantPercent] decimal(9,4) NULL , [PoolMaxWorkspaceMemoryMb] decimal(19,2) NULL , [PoolTargetWorkspaceMemoryMb] decimal(19,2) NULL , [PoolUsedWorkspaceMemoryMb] decimal(19,2) NULL , [ConfiguredRequestMaxGrantMemoryMb] decimal(19,2) NULL , [TargetRequestMaxGrantMemoryMb] decimal(19,2) NULL , [HistoricalMaxRequestGrantMemoryMb] decimal(19,2) NULL , [RequestedOfRequestMaxPercent] decimal(9,2) NULL , [GrantedOfRequestMaxPercent] decimal(9,2) NULL , [UsedOfRequestMaxPercent] decimal(9,2) NULL , [MaxUsedOfRequestMaxPercent] decimal(9,2) NULL , [IdealOfRequestMaxPercent] decimal(9,2) NULL , [RequestedOfTargetMaxPercent] decimal(9,2) NULL , [GrantedOfTargetMaxPercent] decimal(9,2) NULL , [UsedOfGrantedPercent] decimal(9,2) NULL , [MaxUsedOfGrantedPercent] decimal(9,2) NULL , [SemaphoreTargetMemoryMb] decimal(19,2) NULL , [SemaphoreMaxTargetMemoryMb] decimal(19,2) NULL , [SemaphoreTotalMemoryMb] decimal(19,2) NULL , [SemaphoreAvailableMemoryMb] decimal(19,2) NULL , [SemaphoreGrantedMemoryMb] decimal(19,2) NULL , [SemaphoreUsedMemoryMb] decimal(19,2) NULL , [SemaphoreGranteeCount] int NULL , [SemaphoreWaiterCount] int NULL , [ReservedWorkerCount] bigint NULL , [UsedWorkerCount] bigint NULL , [MaxUsedWorkerCount] bigint NULL , [QueueId] smallint NULL , [WaitOrder] int NULL , [LoginName] nvarchar(128) NULL , [HostName] nvarchar(128) NULL , [ProgramName] nvarchar(128) NULL , [DatabaseId] smallint NULL , [DatabaseName] sysname NULL , [RequestStatus] nvarchar(30) NULL , [Command] nvarchar(32) NULL , [ElapsedMs] int NULL , [CpuMs] int NULL , [LogicalReads] bigint NULL , [CurrentStatementCharacters] bigint NULL , [CurrentStatementBytes] bigint NULL , [CurrentStatementIsTruncated] bit NOT NULL DEFAULT(0) , [CurrentStatement] nvarchar(max) NULL",Keine aktiven Memory Grants
USP_CurrentTempDB,sessions,1,1,1,#CurrentTempDB_Sessions,1,"[SessionId] smallint NOT NULL , [LoginName] nvarchar(128) NULL , [HostName] nvarchar(128) NULL , [ProgramName] nvarchar(128) NULL , [SessionStatus] nvarchar(30) NULL , [UserObjectsAllocatedMb] decimal(19,2) NOT NULL , [UserObjectsDeallocatedMb] decimal(19,2) NOT NULL , [UserObjectsNetMb] decimal(19,2) NOT NULL , [InternalObjectsAllocatedMb] decimal(19,2) NOT NULL , [InternalObjectsDeallocatedMb] decimal(19,2) NOT NULL , [InternalObjectsNetMb] decimal(19,2) NOT NULL , [TotalNetMb] decimal(19,2) NOT NULL",Keine aktive TempDB-Nutzung
